0x0F7,"Restaura algo de salud.\n
"
0x198,"Aumenta la fuerza\n
del Cuchillo.\n
"
0x199,"Aumenta la fuerza del Hacha.\n
"
0x19A,"Aumenta la fuerza\n
del Puño Sagrado.\n
"
0x19B,"Aumenta la fuerza\n
del Libro Sagrado.\n
"
0x19C,"Combinado con una subarma, permite\n
lanzar hechizos de fuego.\n
"
0x19D,"Combinado con una subarma, permite\n
lanzar hechizos de hielo.\n
"
0x19E,"Combinado con una subarma, permite\n
lanzar hechizos de trueno.\n
"
0x19F,"Combinado con una subarma, permite\n
lanzar hechizos de viento.\n
"
0x1A0,"Combinado con una subarma, permite\n
invocar monstruos.\n
"
0x1A1,"Al pulsar ABAJO + SALTO, el usuario\n
puede DESLIZARSE.\n
"
0x1A2,"En el aire, el usuario puede dar un\n
SALTO adicional.\n
"
0x1A3,"Al pulsar ABAJO/ARRIBA + SALTO,\n
se puede dar un GRAN SALTO.\n
"
0x1A4,"Permite ver cuánto daño ha recibido un\n
enemigo.\n
"
0x1A5,"Permite conocer el nombre de sus\n
enemigos.\n
"
0x1A6,"Permite ver los datos de los monstruos\n
que ha encontrado.\n
"
0x1A7,"Uno de los restos de Drácula. Anula\n
maldiciones.\n
"
0x1A8,"Uno de los restos de Drácula. Anula la\n
petrificación.\n
"
0x1A9,"Uno de los restos de Drácula. Anula el\n
veneno.\n
"
0x1AA,"Uno de los restos de Drácula. Aumenta\n
STR (FUERZA).\n
"
0x1AB,"Uno de los restos de Drácula. Aumenta\n
DEF (DEFENSA).\n
"
0x1AC,"Una de las pertenencias de Drácula.\n
Aumenta LCK (SUERTE).\n
"
0x1AD,"Se dice que lo usó la realeza. Tiene\n
una historia interesante.\n
"
0x1AE,"Comprado la mañana que nació su\n
abuelo. Aún da la hora exacta.\n
"
0x1AF,"Una estantería muy resistente. Aguanta\n
terremotos.\n
"
0x1B0,"Prototipo de radio recibido del propio\n
gran inventor.\n
"
0x1B1,"Esta vajilla de plata pura irradia\n
elegancia.\n
"
0x1B2,"Hecha con un cedro\n
de 1000 años.\n
"
0x1B3,"Una silla de madera de excelente\n
factura.\n
"
0x1B4,"Esta relajante silla cruje\n
con suavidad al mecerse.\n
"
0x1B5,"Hecha con las mejores sedas, suave\n
con tacto aterciopelado.\n
"
0x1B6,"Los objetos más valiosos son los que\n
cuesta valorar.\n
"
0x1B7,"Mirarla fijamente suele provocar\n
estornudos.\n
"
0x1B8,"Un jarrón repleto de\n
flores artificiales.\n
"
0x1B9,"Da un toque agradable a cualquier\n
habitación.\n
"
0x1BA,"Con un sorbo de té de esta taza,\n
puedes unirte a nuestro clan.\n
"
0x1BB,"Hace que el té sepa mejor de lo que\n
realmente es.\n
"
0x1BC,"Bonita copa para veladas elegantes\n
con amigos.\n
"
0x1BD,"Un héroe inmortalizado para siempre.\n
Algún día seré yo...\n
"
0x1BE,"Estatua de una diosa. Las diosas son\n
muy bellas, no crees?\n
"
0x1BF,"Estatua de un anciano algo engreído.\n
"
0x1C0,"Obra de arte de un artesano claramente\n
hábil en figuras de mapaches.\n
"
0x1C1,"Estatua que ayuda a atraer dinero. No\n
se sabe si es efectiva.\n
"
0x1C2,"Máquina que emite sonido. Lo analógico\n
es genial, verdad...\n
"
0x1C3,"Símbolo de los ricos. Siento que me\n
observan.\n
"
0x1C4,"Candelero de plata para veladas\n
elegantes con amigos.\n
"
0x1C5,"Candelero de oro para elegantes\n
veladas con amigos.\n
"
0x1C6,"La inscripción dice: la luz de\n
las velas hace ver rica la comida.\n
"
0x1C7,"La inscripción dice: la luz de las\n
velas hace que tu novia te quiera más.\n
"
0x1C8,"Al mirarlo sientes como si alguien\n
estuviera ahí...\n
"
0x1C9,"Parece un lugar fuera del castillo.\n
"
0x1CA,"Fabricada por la única marca de\n
confianza en camas: FUTON.\n
"
0x1CB,"Olvídate de tener demasiada ropa y\n
poco espacio.\n
"
